,classified_id,classified_type,classified_subtype,classified_price,classified_transactionType,classified_zip,classified_visualisationOption,classified_kitchen_type,classified_building_constructionYear,classified_building_condition,classified_energy_heatingType,classified_certificates_primaryEnergyConsumptionLevel,classified_bedroom_count,classified_land_surface,classified_atticExists,classified_basementExists,classified_outdoor_garden_surface,classified_outdoor_terrace_exists,classified_specificities_SME_office_exists,classified_wellnessEquipment_hasSwimmingPool,classified_parking_parkingSpaceCount_indoor,classified_parking_parkingSpaceCount_outdoor,classified_condition_isNewlyBuilt,new_price,classified_region,bedroom_count
14486,10150352,house,apartmentblock,925000,forsale,1000,xl,semiequipped,1930.0,good,gas,550.0,4.0,85.0,,True,,,True,,,,,0,Brussels,4
14487,10149404,house,house,1595000,forsale,1950,xl,hyperequipped,1987.0,justrenovated,gas,174.0,4.0,1000.0,,True,,True,,,1.0,3.0,,0,Vlaams Brabant,4
14488,10156598,house,house,199000,forsale,2845,xl,installed,,good,gas,342.0,3.0,86.0,,True,,True,,,,,,0,Antwerp,3
14489,10156301,house,house,240000,forsale,4317,xl,semiequipped,,justrenovated,gas,375.0,2.0,956.0,,True,,,,,,2.0,,0,Liege,2
14490,10155784,house,villa,795000,forsale,1410,xl,hyperequipped,1997.0,justrenovated,fueloil,221.0,4.0,1006.0,,,150.0,True,,True,1.0,4.0,,0,Brabant Wallonia,4
14491,10155839,house,villa,795000,forsale,1420,xl,hyperequipped,1997.0,justrenovated,fueloil,221.0,4.0,1006.0,,,150.0,True,,True,1.0,4.0,,0,Brabant Wallonia,4
14492,10067767,house,mansion,1575000,forsale,1000,xl,hyperequipped,1908.0,good,gas,301.0,5.0,262.0,,True,101.0,True,True,,,,,0,Brussels,5
14493,10130889,house,apartmentblock,2150000,forsale,1000,xl,installed,1890.0,good,gas,382.0,10.0,460.0,True,True,,True,True,,5.0,3.0,,0,Brussels,More than 8
14494,10136141,house,house,140000,forsale,4460,xl,notinstalled,,torenovate,gas,544.0,2.0,129.0,True,True,34.0,,,,1.0,,,0,Liege,2
14495,10136853,house,house,210000,forsale,9690,xl,notinstalled,1936.0,torenovate,,598.0,3.0,450.0,,True,,True,,,,,,0,Oost Vlaanderen,3
14496,10136880,house,house,355000,forsale,9200,xl,installed,1945.0,justrenovated,gas,160.0,4.0,607.0,True,,400.0,True,True,,3.0,,,0,Oost Vlaanderen,4
14497,10137189,house,house,429000,forsale,6900,xl,semiequipped,,good,fueloil,366.0,7.0,2649.0,,True,1616.0,True,,,,,,0,Luxembourg,6 to 8
14498,10136022,house,house,479000,forsale,1180,xl,installed,1950.0,torenovate,gas,450.0,3.0,303.0,,True,230.0,True,,,1.0,1.0,,0,Brussels,3
