,id,type,average_price,province
11485,10155668,apartment,895000,Brussel
11486,10156099,apartment,175000,Brussel
11487,10054691,house group,1135000.0,Brussel
11488,10154419,apartment,385000,Brussel
11489,10156098,apartment,165000,Brussel
11490,10145148,house,700000,Brussel
11491,10145345,house,155000,Brussel
11492,10147050,house,995000,Brussel
11493,10160264,apartment,170000,Brussel
11494,10160307,apartment,149000,Brussel
11496,10160118,apartment,261000,West-Vlaanderen
11497,10160542,apartment,199000,West-Vlaanderen
11498,10159966,apartment,345000,West-Vlaanderen
11499,10146518,apartment,345000,West-Vlaanderen
11500,10160219,apartment,325000,West-Vlaanderen
11501,10160774,apartment,239000,West-Vlaanderen
11502,10159852,apartment,345000,West-Vlaanderen
11503,10160038,apartment,345000,West-Vlaanderen
11504,10146026,apartment,180000,West-Vlaanderen
11505,10160339,apartment,855000,West-Vlaanderen
11506,10160430,apartment,349000,West-Vlaanderen
11507,10161011,apartment,550000,West-Vlaanderen
11508,10152279,house,375000,West-Vlaanderen
11509,10146052,apartment,230000,West-Vlaanderen
11510,10151998,house,443000,West-Vlaanderen
11511,10145274,apartment,1775000,West-Vlaanderen
11512,10152475,house,849000,West-Vlaanderen
11513,10146022,apartment,1345000,West-Vlaanderen
11514,10092170,house,269000,West-Vlaanderen
11515,10159440,house,748000,West-Vlaanderen
11516,10159238,house,395000,West-Vlaanderen
11517,10157685,house,385000,West-Vlaanderen
11518,9563070,apartment,149500,West-Vlaanderen
11519,10146863,apartment,398000,West-Vlaanderen
11520,9897417,apartment group,100000.0,West-Vlaanderen
