id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location
10154630,apartment,duplex,489000,for sale,usa hyper equipped,gas,1,,,,,,Brussel
10151627,apartment,duplex,398000,for sale,hyper equipped,gas,2,,true,,,,Brussel
10153836,apartment,apartment,495000,for sale,installed,gas,2,,true,,,,Brussel
10161786,house,mixed use building,1450000,for sale,hyper equipped,gas,4,83,,,,,Brussel
10154632,apartment,apartment,749000,for sale,usa hyper equipped,gas,2,,,,,,Brussel
10154631,apartment,apartment,699000,for sale,usa hyper equipped,gas,2,,,,,,Brussel
10141214,apartment,apartment,1995000,for sale,usa hyper equipped,gas,4,,true,,,1,Brussel
id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location
10145213,apartment,apartment,209000,for sale,installed,gas,2,,true,,,,Nijvel
10084941,apartment,apartment,220000,for sale,hyper equipped,gas,1,,true,,,1,Nijvel
10093354,apartment,apartment,195000,for sale,semi equipped,gas,2,,,,,,Nijvel
10157202,apartment,apartment,395000,for sale,installed,,3,,true,,,,Nijvel
10157266,apartment,apartment,169000,for sale,installed,,2,,true,,,,Nijvel
10142892,house group,house group,64400 - 370032.41,for sale,,,,,,,,1,Nijvel
10145212,apartment,apartment,259000,for sale,hyper equipped,electric,2,,true,,,,Nijvel
10084890,apartment,apartment,254000,for sale,hyper equipped,gas,1,,true,,,1,Nijvel
10084884,apartment,apartment,259000,for sale,hyper equipped,gas,1,,true,,,1,Nijvel
