id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location,region,province,EPC
10160246,apartment,apartment,320000,for sale,hyper equipped,,2,,true,,,1,Brussel,['Brussel'],['Brussel'],[None]
10160243,apartment,apartment,230000,for sale,hyper equipped,,1,,true,,,1,Brussel,['Brussel'],['Brussel'],[None]
10160244,apartment,apartment,245000,for sale,hyper equipped,,1,,true,,,1,Brussel,['Brussel'],['Brussel'],[None]
10154682,apartment,apartment,965000,for sale,usa hyper equipped,gas,3,,true,,,1,Brussel,['Brussel'],['Brussel'],[None]
10160242,apartment,apartment,390000,for sale,hyper equipped,,2,,true,,,1,Brussel,['Brussel'],['Brussel'],[None]
10158224,apartment,duplex,140000,for sale,usa installed,gas,3,,true,,,,Brussel,['Brussel'],['Brussel'],[None]
10157688,apartment group,apartment group,239000 - 342000,for sale,,,,,,,,1,Brussel,['Brussel'],['Brussel'],[None]
10157770,apartment,apartment,249000,for sale,installed,gas,2,,true,,,,Brussel,['Brussel'],['Brussel'],[None]
10082019,apartment group,apartment group,262500 - 675000,for sale,,,,,,,,1,Brussel,['Brussel'],['Brussel'],[None]
10158916,apartment,apartment,255000,for sale,hyper equipped,gas,1,,true,,,,Brussel,['Brussel'],['Brussel'],[None]
10152494,apartment group,apartment group,280000 - 635000,for sale,,,,,,,,1,Brussel,['Brussel'],['Brussel'],[None]
10158640,house,house,269000,for sale,semi equipped,pellet,3,3418,,,,,Brussel,['Brussel'],['Brussel'],[None]
10159398,apartment group,apartment group,294500 - 565000,for sale,,,,,,,,1,Brussel,['Brussel'],['Brussel'],[None]
10158478,apartment group,apartment group,322750 - 322750,for sale,,,,,,,,1,Brussel,['Brussel'],['Brussel'],[None]
10158925,apartment,duplex,295000,for sale,hyper equipped,gas,2,,,,,,Brussel,['Brussel'],['Brussel'],[None]
10157545,apartment,apartment,325000,for sale,hyper equipped,gas,2,,true,,,,Brussel,['Brussel'],['Brussel'],[None]
10159481,apartment,apartment,329000,for sale,installed,fueloil,2,,true,,,,Brussel,['Brussel'],['Brussel'],[None]
id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location,region,province,EPC
10157660,apartment,duplex,369000,for sale,usa hyper equipped,gas,2,,true,,,,Brussel,['Brussel'],['Brussel'],[None]
10159386,house group,house group,419000 - 419000,for sale,,,,,,,,1,Brussel,['Brussel'],['Brussel'],[None]
10158413,apartment group,apartment group,361800 - 693450,for sale,,,,,,,,1,Brussel,['Brussel'],['Brussel'],[None]
10158422,apartment group,apartment group,427125 - 427125,for sale,,,,,,,,1,Brussel,['Brussel'],['Brussel'],[None]
10158500,apartment group,apartment group,357500 - 547500,for sale,,,,,,,,1,Brussel,['Brussel'],['Brussel'],[None]
10158588,apartment group,apartment group,365000 - 365000,for sale,,,,,,,,1,Brussel,['Brussel'],['Brussel'],[None]
10157651,apartment group,apartment group,447500 - 1225868,for sale,,,,,,,,1,Brussel,['Brussel'],['Brussel'],[None]
10157565,apartment,penthouse,595000,for sale,hyper equipped,gas,4,,true,,,,Brussel,['Brussel'],['Brussel'],[None]
10158470,apartment group,apartment group,447175 - 447175,for sale,,,,,,,,1,Brussel,['Brussel'],['Brussel'],[None]
10157528,apartment group,apartment group,435000 - 645000,for sale,,,,,,,,1,Brussel,['Brussel'],['Brussel'],[None]
10158591,house group,house group,755000 - 755000,for sale,,,,,,,,1,Brussel,['Brussel'],['Brussel'],[None]
10157563,apartment,duplex,595000,for sale,hyper equipped,gas,4,,true,,,,Brussel,['Brussel'],['Brussel'],[None]
10163699,apartment,apartment,375000,for sale,hyper equipped,gas,2,,true,,,1,Brussel,['Brussel'],['Brussel'],[None]
10163697,apartment,apartment,320000,for sale,hyper equipped,gas,2,,true,,,1,Brussel,['Brussel'],['Brussel'],[None]
10157831,apartment group,apartment group,1700000 - 1700000,for sale,,,,,,,,1,Brussel,['Brussel'],['Brussel'],[None]
10164434,house,house,385000,for sale,hyper equipped,gas,3,171,true,,,,Brussel,['Brussel'],['Brussel'],[None]
10164218,house,country cottage,350000,for sale,usa installed,fueloil,2,885,,770,,,Brussel,['Brussel'],['Brussel'],[None]
